X,Y,field_1,field_2,field_3,field_4,field_5,field_6,field_7,field_8
-48.538332846495081,-27.580555830612091,21738255,7234,2108036594,743055.06,6946884.49,743051.86,6946875.84,
-48.540266304673686,-27.580979994464741,21738840,7966,2108309534,742863.19,6946841.28,742866.32,6946845.98,
-48.542448862529504,-27.582040968829762,21738883,5104,2108047653,742645.32,6946727.98,742644.45,6946718.19,
-48.545434458838457,-27.585476548743372,21744115,79998,2108324768,742342.93,6946353.08,742335.89,6946343.04,
-48.538426814962151,-27.573646296482199,21746517,21762,2108048041,743061.02,6947650.44,743069.23,6947642.23,
-48.538426814962151,-27.573646296482199,21746614,21762,2108048041,743061.02,6947650.44,743069.23,6947642.23,
-48.538426814962151,-27.573646296482199,21746924,21762,2108048041,743061.02,6947650.44,743069.23,6947642.23,
-48.538426814962151,-27.573646296482199,21747114,21762,2108048041,743061.02,6947650.44,743069.23,6947642.23,
-48.538426814962151,-27.573646296482199,21747599,21762,2108048041,743061.02,6947650.44,743069.23,6947642.23,
-48.538426814962151,-27.573646296482199,21747637,21762,2108048041,743061.02,6947650.44,743069.23,6947642.23,
-48.550396975180533,-27.591114777336792,21761184,72148,2107977931,741840.51,6945737.93,741843.22,6945748.88,
-48.548671936823901,-27.591012761073607,21761249,72409,2108005269,742011.07,6945745.86,742016.2,6945758.37,
-48.548671936823901,-27.591012761073607,21761257,72409,2108005269,742011.07,6945745.86,742016.2,6945758.37,
-48.54626852805108,-27.588976276127188,21761281,72406,2108305090,742252.87,6945966.85,742245.59,6945977.39,
-48.544722374589234,-27.590546279642908,21761311,72344,2107974647,742402.09,6945789.82,742405.77,6945779,
-48.544722374589234,-27.590546279642908,21761346,72344,2107974647,742402.09,6945789.82,742405.77,6945779,
-48.544722374589234,-27.590546279642908,21761354,72344,2107974647,742402.09,6945789.82,742405.77,6945779,
-48.544722374589234,-27.590546279642908,21761370,72344,2107974647,742402.09,6945789.82,742405.77,6945779,
-48.544722374589234,-27.590546279642908,21761443,72344,2107974647,742402.09,6945789.82,742405.77,6945779,
-48.544722374589234,-27.590546279642908,21761486,72344,2107974647,742402.09,6945789.82,742405.77,6945779,
-48.544722374589234,-27.590546279642908,21761508,72344,2107974647,742402.09,6945789.82,742405.77,6945779,
-48.54783341487731,-27.597853307301683,21766798,19421,2108062474,742078.83,6944986.1,742071.64,6944980.63,
-48.54481854230076,-27.596567890510372,21768057,72725,2108065569,742379.34,6945122.65,742384.99,6945119.14,
-48.542494219876403,-27.579325922263756,21777528,72249,2108026469,742646.82,6947028.97,742659.28,6947025.15,
-48.542494219876403,-27.579325922263756,21777536,72249,2108026469,742646.82,6947028.97,742659.28,6947025.15,
-48.542494219876403,-27.579325922263756,21777544,72249,2108026469,742646.82,6947028.97,742659.28,6947025.15,
-48.542494219876403,-27.579325922263756,21778109,72249,2108026469,742646.82,6947028.97,742659.28,6947025.15,
-48.523510952469941,-27.532999149194605,21794953,8136,2107912324,744624.23,6952125.87,744624.89,6952142.55,
-48.501272870346369,-27.542983374517991,21795020,15395,2107913059,746798.96,6950975.21,746797.03,6950977.75,
-48.501991404814106,-27.542964175118545,21795054,7498,2107911646,746728.02,6950978.77,746732.42,6950971.24,
-48.501717059622067,-27.543287135182162,21795070,7498,2107912581,746754.4,6950942.43,746745.37,6950935.48,
-48.490154744215424,-27.550570423167468,21795097,8473,2107910795,747880.26,6950112.13,747889.37,6950102.52,
-48.49305798735454,-27.550250299807473,21795127,14909,2107910040,747594.19,6950153.42,747599.22,6950160.44,
-48.5162046514629,-27.56355944350457,21795240,6600,2107896573,745278.12,6948724.48,745278.98,6948712.84,
-48.538426814962151,-27.573646296482199,21796360,21762,2108048041,743061.02,6947650.44,743069.23,6947642.23,
-48.53752066136348,-27.583213956392399,21800813,7757,2108014733,743129.4,6946588.3,743133.33,6946600.73,
-48.549107229433993,-27.591212009928608,21802778,15458,2107978965,741967.65,6945724.63,741971.4,6945732.56,
-48.501230825234984,-27.542028081986057,21815144,20714,2107911138,746805.25,6951081,746810.52,6951072.48,
-48.543888587141076,-27.582392998748215,21816370,71578,2108046526,742502.37,6946691.79,742512.53,6946689.13,
-48.546633630738896,-27.586606056203401,21821276,7098,2108012639,742222.03,6946230.25,742215.43,6946223.45,
-48.544892962570792,-27.587522423334615,21821330,18184,2108038972,742391.9,6946125.28,742402.28,6946120.37,
-48.538854536517512,-27.592052941088745,21821438,15803,2107996066,742978.18,6945611.32,742978.18,6945603.46,
-48.542524366689641,-27.598747934061581,21821870,6079,2108246734,742601.06,6944876.54,742610.16,6944876.97,
-48.546429407958719,-27.597888668609194,21822094,5055,2108064104,742217.38,6944979.43,742226.8,6944984.39,
-48.531274023857527,-27.588204049825823,21822485,19888,2108019302,743735.22,6946022.96,743726.86,6946030.39,
-48.529252147374791,-27.586327193884816,21822566,15062,2108024291,743939.03,6946226.98,743942.24,6946233.41,
-48.532913376297429,-27.580732462202857,21822590,6768,2108301614,743589.86,6946854.25,743590.79,6946864.85,
-48.532129343728116,-27.582778839010253,21822647,8658,2108299212,743662.76,6946625.91,743660.83,6946628.13,
-48.533219545535943,-27.576712733817637,21822671,6752,2108046624,743568.51,6947300.35,743557.7,6947298.19,
-48.53977615000619,-27.580310549421448,21822752,15562,2108045247,742913.07,6946914.51,742907.27,6946906.03,
-48.539715292447724,-27.580337712823543,21823481,15562,2108045246,742919.02,6946911.38,742914.11,6946901.56,
-48.539872907423764,-27.580253795100045,21823503,15562,2108045248,742903.64,6946920.99,742896.51,6946913.69,
-48.540705401387243,-27.579508897610506,21823546,15562,2108045168,742823.07,6947005.18,742815.33,6946998.04,
-48.534097983737226,-27.588006667839775,21823589,7274,2108313340,743456.8,6946050.4,743447.88,6946055.85,
-48.546277235132074,-27.589053667498057,21848182,72406,2108305074,742251.84,6945958.29,742243.67,6945969.92,
-48.546277235132074,-27.589053667498057,21848212,72406,2108305074,742251.84,6945958.29,742243.67,6945969.92,
-48.544722374589234,-27.590546279642908,21848573,72344,2107974647,742402.09,6945789.82,742405.77,6945779,
-48.544475728589276,-27.586804746177148,21851221,7469,2107979039,742434.68,6946204,742441.39,6946209.23,
-48.544475728589276,-27.586804746177148,21851230,7469,2107979039,742434.68,6946204,742441.39,6946209.23,
-48.542624600233331,-27.579209848096891,21851698,72249,2108026470,742634.2,6947042.09,742643.54,6947040.17,
-48.54481854230076,-27.596567890510372,21852015,72725,2108065569,742379.34,6945122.65,742384.99,6945119.14,
-48.54481854230076,-27.596567890510372,21852023,72725,2108065569,742379.34,6945122.65,742384.99,6945119.14,
